transaction_id,timestamp,customer_id,transaction_type,amount,currency,stock_ticker,stock_price,news_text
1024,2025-03-08 11:00:00,C007,Withdrawal,2003.0,GBP,TSLA,442.95,AI-driven trading strategies outperform traditional models
1025,2025-03-08 11:05:00,C019,Transfer,4972.6,JPY,AAPL,717.46,Central banks consider interest rate adjustments
1026,2025-03-08 11:10:00,C012,Transfer,4437.05,GBP,AMZN,2898.9,AI-driven trading strategies outperform traditional models
1027,2025-03-08 11:15:00,C012,Withdrawal,6885.6,EUR,AAPL,2931.63,Microsoft expands cloud services to new regions
1028,2025-03-08 11:20:00,C016,Withdrawal,153.2,JPY,MSFT,2498.27,Stock markets show volatility amid economic uncertainty
1029,2025-03-08 11:25:00,C012,Withdrawal,5683.72,GBP,AMZN,2264.71,AI-driven trading strategies outperform traditional models
1030,2025-03-08 11:30:00,C005,Deposit,4219.68,USD,AMZN,2886.15,Regulatory changes impact global financial markets
1031,2025-03-08 11:35:00,C008,Deposit,8906.39,GBP,MSFT,3887.91,Regulatory changes impact global financial markets
1032,2025-03-08 11:40:00,C015,Deposit,6195.44,USD,MSFT,1568.0,AI-driven trading strategies outperform traditional models
1033,2025-03-08 11:45:00,C006,Transfer,2128.84,EUR,TSLA,3332.24,Microsoft expands cloud services to new regions
1034,2025-03-08 11:50:00,C006,Payment,7115.52,JPY,AAPL,279.64,Apple stock rises after positive earnings report
1035,2025-03-08 11:55:00,C017,Transfer,7062.85,JPY,AMZN,2236.16,Regulatory changes impact global financial markets
1036,2025-03-08 12:00:00,C012,Payment,9622.8,EUR,MSFT,496.81,Central banks consider interest rate adjustments
1037,2025-03-08 12:05:00,C015,Withdrawal,5458.39,EUR,AAPL,1538.2,Central banks consider interest rate adjustments
1038,2025-03-08 12:10:00,C009,Withdrawal,5205.09,USD,MSFT,3489.06,Central banks consider interest rate adjustments
1039,2025-03-08 12:15:00,C015,Transfer,7326.34,JPY,NVDA,1743.15,Tesla faces supply chain disruptions affecting production
1040,2025-03-08 12:20:00,C019,Deposit,827.23,JPY,NVDA,3348.91,Nvidia GPU demand surges due to AI advancements
1041,2025-03-08 12:25:00,C002,Deposit,9822.37,USD,AMZN,831.88,Apple stock rises after positive earnings report
1042,2025-03-08 12:30:00,C015,Payment,9597.18,GBP,NVDA,1156.42,Microsoft expands cloud services to new regions
1043,2025-03-08 12:35:00,C008,Transfer,7574.04,EUR,AAPL,2308.69,Stock markets show volatility amid economic uncertainty
1044,2025-03-08 12:40:00,C009,Deposit,2394.71,USD,NVDA,2189.82,Amazon announces new AI-powered logistics platform
1045,2025-03-08 12:45:00,C020,Transfer,7649.58,GBP,NVDA,510.29,Microsoft expands cloud services to new regions
1046,2025-03-08 12:50:00,C011,Transfer,2429.69,EUR,TSLA,1114.25,Regulatory changes impact global financial markets
1047,2025-03-08 12:55:00,C020,Withdrawal,5731.71,EUR,AAPL,3154.97,Nvidia GPU demand surges due to AI advancements
1048,2025-03-08 13:00:00,C005,Payment,170.98,EUR,TSLA,1320.35,Cryptocurrency adoption grows among institutional investors
1049,2025-03-08 13:05:00,C015,Withdrawal,1235.08,EUR,NVDA,3738.24,Amazon announces new AI-powered logistics platform
